,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,01-Apr-20,02-Apr-20,03-Apr-20,04-Apr-20,05-Apr-20,06-Apr-20,07-Apr-20,08-Apr-20,09-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20,08-May-20,09-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20,01-Jun-20,02-Jun-20,03-Jun-20,04-Jun-20,05-Jun-20,06-Jun-20,07-Jun-20,08-Jun-20,09-Jun-20,10-Jun-20,11-Jun-20,12-Jun-20,13-Jun-20,14-Jun-20,15-Jun-20,16-Jun-20,17-Jun-20,18-Jun-20,19-Jun-20,20-Jun-20,21-Jun-20,22-Jun-20,23-Jun-20,24-Jun-20,25-Jun-20,26-Jun-20,27-Jun-20,28-Jun-20,29-Jun-20,30-Jun-20,01-Jul-20,02-Jul-20,03-Jul-20,04-Jul-20,05-Jul-20,06-Jul-20,07-Jul-20,08-Jul-20,09-Jul-20,10-Jul-20,11-Jul-20,12-Jul-20,13-Jul-20,14-Jul-20,15-Jul-20,16-Jul-20,17-Jul-20,18-Jul-20,19-Jul-20,20-Jul-20,21-Jul-20,22-Jul-20,23-Jul-20,24-Jul-20,25-Jul-20,26-Jul-20,27-Jul-20,28-Jul-20,29-Jul-20
Goa,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,9,9,8,4,2,2,1,11,1,0,1,1,0,1,1,2,6,47,40,30,71,33,30,29,28,30,46,60,41,28,37,27,49,20,29,64,46,45,42,44,44,89,70,53,64,72,95,94,108,77,52,90,136,112,100,117,85,130,170,198,157,196,180,173,196,174,149,174,190,146,175,258,168,202
Gujrat,0,0,0,0,0,2,5,7,4,12,4,4,5,4,8,8,7,4,13,1,7,13,20,18,29,11,76,116,90,48,56,78,116,163,170,277,367,196,239,229,217,191,256,230,247,226,308,313,326,333,374,376,441,380,388,390,394,398,347,362,364,324,340,1057,391,366,395,398,371,363,396,394,405,361,376,367,372,412,438,423,415,485,492,510,498,480,477,470,510,513,495,517,511,514,524,520,510,540,539,580,563,549,572,577,580,615,624,626,620,675,681,687,712,725,735,778,783,861,875,872,879,902,915,925,919,949,960,965,998,1026,1020,1078,1068,1081,1110,1052,1108,1144
Himachal Pradesh,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,7,1,4,9,0,1,0,4,0,0,1,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,2,6,1,8,1,6,2,2,2,10,2,18,42,16,17,18,20,24,26,8,14,18,18,9,5,14,24,10,7,11,10,16,14,19,16,16,16,38,4,25,10,32,29,17,54,48,31,33,25,30,22,26,11,26,35,19,13,17,14,6,18,39,31,11,31,30,66,32,36,40,40,64,110,33,61,109,120,95,127,94,60,73
Harayana,14,0,0,1,1,1,2,2,0,7,2,1,1,1,2,0,1,7,0,6,9,26,6,20,33,24,3,6,3,16,1,2,6,11,8,9,18,1,4,9,6,5,12,9,5,7,3,28,18,19,66,75,31,46,31,22,28,28,27,50,13,25,36,33,23,18,36,29,37,37,64,53,29,92,76,123,217,202,168,265,296,302,327,316,355,496,406,355,370,389,366,415,459,514,550,560,386,525,480,412,390,495,490,453,421,543,402,381,338,393,568,494,545,457,499,495,691,674,570,648,658,689,699,678,696,795,750,617,694,604,724,789,780,783,794,795,749,755
Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,9,1,3,2,5,3,1,1,3,1,8,5,0,0,7,6,8,15,21,2,2,3,3,2,0,0,10,2,5,22,2,1,4,11,5,26,8,6,6,5,20,42,13,20,27,20,35,21,7,6,82,73,41,26,61,42,63,95,106,75,187,126,135,48,57,55,52,30,46,57,23,42,63,74,42,53,26,44,31,45,25,62,64,35,60,112,42,68,47,164,116,134,250,145,97,203,262,337,221,313,289,167,225,418,487,482,400,277,508,454,760,331
Jammu And Kashmir,2,0,1,0,1,0,0,0,0,0,2,5,3,6,13,5,11,6,7,8,5,17,14,3,16,33,26,23,17,21,25,8,22,14,14,13,13,14,12,27,27,20,40,29,23,19,16,33,25,27,35,25,15,34,18,30,13,25,18,55,37,12,30,108,62,106,28,73,59,40,80,52,47,91,162,115,128,177,105,155,117,139,285,182,143,620,198,61,161,67,156,148,163,179,78,108,149,125,154,122,132,148,186,127,213,204,127,144,260,198,154,170,227,183,246,256,330,240,387,268,357,314,346,493,490,601,441,701,751,608,453,718,353,523,615,470,489,540
Karnataka,6,0,1,2,5,1,0,5,6,7,8,10,4,9,17,2,5,13,9,14,4,16,7,12,12,6,16,10,8,17,15,13,19,36,44,25,6,18,10,9,18,29,26,3,9,11,12,30,24,12,13,37,22,20,12,48,41,54,14,63,34,28,69,36,55,99,149,67,143,138,216,130,93,101,135,115,248,141,299,187,388,267,257,515,378,239,308,161,120,204,271,308,176,213,317,204,210,337,416,453,249,322,397,442,445,918,1267,1105,947,1272,1502,1694,1839,1925,1843,1498,2062,2228,2313,2798,2627,2738,2496,3176,4169,3693,4537,4120,3648,3649,4764,5030,5007,5072,5199,5324,5536,5503
Kerala,19,5,3,0,0,1,12,12,15,28,14,9,19,39,6,20,32,7,24,21,9,11,8,13,9,9,12,7,10,2,3,8,1,7,1,4,2,6,19,11,10,3,7,11,13,4,10,2,0,2,0,0,3,0,0,1,2,7,7,5,10,26,16,11,14,29,12,24,24,42,62,53,49,67,40,85,62,58,61,57,86,82,94,111,108,107,91,91,65,83,78,85,54,82,79,75,97,118,127,133,138,141,152,123,150,195,118,122,131,151,160,211,240,225,193,272,301,339,416,488,435,449,608,623,722,791,593,821,794,720,1038,1078,885,1103,927,702,1167,903
Ladakh,0,0,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,3,1,0,1,20,0,3,0,0,4,9,4,3,2,4,0,5,7,20,104,198,112,6,94,38,0,57,92,1,10,85,0,9,5,14,3,1,9,17,1,11,3,0,0,36,6,8,9,13,9,7,35,14,5,4,8,19,17,3,8,4,36,30,9,21,21,20
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
