,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,01-Apr-20,02-Apr-20,03-Apr-20,04-Apr-20,05-Apr-20,06-Apr-20,07-Apr-20,08-Apr-20,09-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20,08-May-20,09-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20,01-Jun-20,02-Jun-20,03-Jun-20,04-Jun-20,05-Jun-20,06-Jun-20,07-Jun-20,08-Jun-20,09-Jun-20,10-Jun-20,11-Jun-20,12-Jun-20,13-Jun-20,14-Jun-20,15-Jun-20,16-Jun-20,17-Jun-20,18-Jun-20
MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,12,7,28,27,4,0,15,0,6
ORISSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,0,0,6,0,1,0,2,3,0,0,6,2,1,0,1,1,2,1,1,2,14,1,4,0,0,1,1,1,5,0,17,31,27,15,8,30,24,57,30,36,50,43,61,53,99,84,79,75,90,73,76,119,80,91,65,123,112,178,99,140,149,72,120,120,114,146,120,73,97
PUNJAB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,10,0,4,2,0,3,2,2,0,2,1,1,6,1,11,4,13,4,2,12,14,3,0,3,4,4,5,11,5,2,14,3,5,9,2,3,29,23,82,952,109,181,95,152,25,28,23,28,15,5,0,28,3,18,20,13,17,12,14,26,23,14,22,39,65,27,23,45,29,87,18,77,32
PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,6,0,2,0,0,8,4,6,5,1,4,2,5,7,9,6,9,4,4,10,7
RAJASTHAN,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,20,15,0,56,5,0,26,0,17,19,17,5,0,69,70,107,42,20,116,115,26,44,79,223,126,114,82,87,214,150,122,151,79,83,130,119,65,91,215,111,163,119,67,81,195,106,62,208,220,286,253,429,495,293,181,222,309,360,255,142,253,363,211,241,206,236,326,229,219,177,505,275
SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1
TELENGANA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,15,1,0,12,0,0,0,0,51,7,0,7,8,68,0,0,0,0,8,0,58,39,16,9,16,42,35,33,22,35,46,40,43,20,45,34,24,0,50,21,117,13,7,12,21,10,9,2,23,7,25,24,72,120,37,24,36,31,16,63,35,30,31,40,83,32,0,0,75,176,285,74,25,389,261,44,230
TAMILNADU,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,2,0,5,6,2,6,17,0,6,8,23,37,62,103,82,46,46,178,27,90,114,94,60,54,54,82,48,54,29,38,30,76,31,31,58,219,135,92,83,41,65,359,939,634,234,489,987,400,846,363,833,407,611,567,639,765,687,757,413,536,610,585,861,633,604,528,798,1008,1372,1342,1362,1138,797,1438,842,1017
TRIPURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,22,21,4,27,0,32,4,0,13,0,0,0,2,0,5,1,0,0,0,0,0,0,19,0,0,47,39,0,37,118,0,123,0,83
INDIA,9,4,1,1,0,5,3,0,0,12,5,3,7,26,9,5,49,15,16,22,38,56,43,65,75,96,70,151,186,114,112,167,144,258,273,426,388,419,703,394,642,484,442,585,580,636,690,630,962,831,911,1082,1295,1161,1475,1111,1414,1669,1579,1905,1963,1594,2234,4012,2538,2482,3032,3113,3131,3280,2576,3285,3012,3585,3434,3171,11735,4303,4928,3882,4531,3789,4390,4770,5433,5191,5171,5634,6275,6044,7263,8092,7358,10639,7226,6890,10744
UNKNOWNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,4,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,4,0,0,0,10,0,1,13,0,4,1,7,11,14,26,19,13,22,11,33,20,35,66,72,63,48,41,103,44,56,48,185,143,120,137,112,154,105,115,92,107,93,276,195,147,135,148,138,120,82,132,122,164,167,224,195,241,192,187,146,81,182,209,260,277,159,325,302,321,317,266,393,342,294,335,399
UTTARAKHAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,0,0,0,0,2,7,1,4,1,1,1,0,0,0,2,8,1,2,0,0,0,0,0,6,1,0,0,0,0,4,1,0,1,0,0,1,0,0,2,3,0,6,15,0,23,0,0,120,30,7,38,47,78,106,186,41,76,55,61,130,34,78,27,38,132
WEST BENGAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,3,0,3,0,0,3,10,7,1,5,9,4,7,4,7,0,6,24,0,2,0,4,10,5,15,12,-19,86,46,1,31,27,49,45,82,113,90,66,61,63,67,47,68,62,57,28,60,58,75,72,92,90,107,195,187,149,104,170,188,144,207,184,162,155,159,209,218,336,518,434,534,505,468
